"DateTime","Final price"
"2016-12-16 20:20:17",19.99
"2017-01-23 18:13:53",14.99
"2017-01-30 18:11:26",19.99
"2017-04-03 17:41:30",16.99
"2017-04-10 17:23:41",19.99
"2017-06-22 17:41:30",14.99
"2017-07-05 17:17:17",19.99
"2017-09-18 17:11:32",15.99
"2017-09-25 17:22:51",19.99
"2017-10-26 17:13:03",15.99
"2017-11-01 17:18:48",19.99
"2017-11-22 18:08:55",14.99
"2017-11-28 19:45:08",19.99
"2017-12-21 18:09:21",13.39
"2018-01-04 19:04:42",19.99
"2018-01-29 18:11:17",15.99
"2018-02-05 18:11:13",19.99
"2018-02-15 18:08:46",14.99
"2018-02-19 18:19:12",19.99
"2018-03-28 15:40:12",24.99
"2018-05-10 17:10:54",19.99
"2018-05-17 17:10:53",24.99
"2018-06-21 17:45:27",18.74
"2018-07-05 17:21:56",24.99
"2018-10-29 17:18:43",18.74
"2018-11-01 17:57:40",24.99
"2018-11-21 18:30:57",18.74
"2018-11-27 19:27:08",24.99
"2018-12-20 20:56:31",16.74
"2019-01-03 20:10:17",24.99
"2019-02-04 18:13:35",16.74
"2019-02-11 21:06:09",24.99
"2019-03-24 17:10:10",16.74
"2019-03-26 17:20:12",24.99
"2019-05-27 17:15:39",19.99
"2019-06-03 17:16:37",24.99
"2019-06-25 17:48:13",16.74
"2019-06-25 20:20:11",0
"2019-06-26 06:30:37",16.74
"2019-07-09 18:03:25",24.99
"2019-10-28 17:12:42",16.74
"2019-11-01 17:18:52",24.99
"2019-12-19 18:05:45",16.74
"2020-01-02 18:13:41",24.99
"2020-01-23 18:07:37",14.99
"2020-01-27 18:50:11",24.99
"2020-05-04 17:33:39",12.49
"2020-05-11 17:53:57",24.99
"2020-06-21 17:10:17",12.49
"2020-06-23 17:10:32",24.99
"2020-08-07 08:05:04",12.49
"2020-08-11 06:10:55",24.99
"2020-09-25 07:05:11",12.49
"2020-10-01 07:10:06",24.99
"2020-10-29 17:03:16",9.99
"2020-11-02 18:27:38",24.99
"2020-11-25 18:07:20",9.99
"2020-12-01 18:41:01",24.99
"2020-12-22 19:07:58",9.99
"2021-01-05 19:36:33",24.99
"2021-02-11 18:07:23",9.99
"2021-02-15 19:27:07",24.99
"2021-06-24 17:34:59",9.99
"2021-07-08 17:51:04",24.99
"2021-10-28 17:38:07",8.49
"2021-11-01 17:13:50",24.99
"2021-11-24 18:08:36",8.49
"2021-12-01 18:20:38",24.99
"2021-12-22 18:02:41",8.49
"2022-01-05 18:21:04",24.99
"2022-01-27 18:22:31",8.49
"2022-02-03 18:22:31",24.99
"2022-03-08 07:01:46",8.49
"2022-03-14 18:39:28",24.99
"2022-05-20 10:05:03",8.49
"2022-05-27 10:05:02",24.99
"2022-06-23 17:25:50",8.49
"2022-06-23 17:34:26",8.49
"2022-07-07 17:22:36",24.99
"2022-09-15 01:05:04",8.49
"2022-09-20 17:01:46",24.99
"2022-10-25 17:18:36",8.49
"2022-11-01 17:21:57",24.99
"2022-11-22 18:09:42",8.49
"2022-11-29 18:22:34",24.99
"2022-12-22 18:09:41",8.49
"2023-01-05 18:22:46",24.99
"2023-01-23 18:21:59",8.49
"2023-01-30 18:22:00",24.99
"2023-03-16 17:22:24",8.49
"2023-03-23 17:22:32",24.99
"2023-04-06 17:01:41",8.49
"2023-04-13 17:15:06",24.99
"2023-06-05 17:21:56",8.49
"2023-06-12 17:21:53",24.99
"2023-06-29 17:32:29",8.49
"2023-07-13 17:22:36",24.99
"2023-10-26 17:21:48",8.49
"2023-11-02 17:26:53",24.99
"2024-03-04 23:52:54",24.99